injury,returns,name
Knee Injury,2 Days,"Ireland, S"
Knee Injury,3 Weeks,"Pienaar, S"
Groin/Pelvis Injury,2 Days,"Anichebe, V"
Back Injury,2 Days,"Clark, C"
Calf Muscle Strain,no date,"Diaby, V"
Broken Leg,no date,"KozÃ¡k, L"
ACL Knee Injury,7 Months,"Faurlin, A"
Calf/Shin Injury,no date,"Sessegnon, S"
Knee Injury,1 week,"Baker, N"
Ankle/Foot Injury,2 Days,"Stones, J"
Hip/Thigh Injury,2 Days,"Di Maria, A"
Calf/Shin Injury,2 Weeks,"Olsson, J"
Knock,no date,"King, A"
LCL Knee Ligament Injury,5 Days,"Ozil, M"
Hamstring Injury,2 Days,"Atsu, C"
Hip/Thigh Injury,2 Weeks,"Elliott, R"
ACL Knee Injury,5 Weeks,"Rodriguez, J"
Hamstring Injury,2 Days,"Robertson, A"
Knee Injury,4 Days,"Taylor, R"
Calf Muscle Strain,2 Weeks,"Reveillere, A"
Illness,2 Days,"Barrow, M"
Ankle/Foot Injury,no date,"Yun, S"
Knee Injury,2 Weeks,"Gallagher, S"
Ankle/Foot Injury,3 Weeks,"Cork, J"
Hamstring Injury,2 Days,"Cole, J"
Ankle/Foot Injury,no date,"Thorpe, T"
Hamstring Injury,no date,"Chamakh, M"
Hip/Thigh Injury,2 Weeks,"Sturridge, D"
Ankle/Foot Injury,2 Days,"Upson, M"
Thigh Muscle Strain,no date,"Nastasić, M"
Ankle/Foot Injury,2 Days,"Herrera, A"
Muscular Injury ,3 Weeks,"Hibbert, T"
Thigh Muscle Strain,5 Weeks,"De Jong, S"
Hamstring Injury,3 Weeks,"Dawson, M"
Calf Muscle Strain,2 Weeks,"Arteta, M"
Knee Injury,2 Weeks,"Ranieri, S"
Ankle/Foot Injury,no date,"Teixiera, D"
Knee Injury,5 Weeks,"Diame, M"
Groin/Pelvis Injury,2 Days,"Toure, Y"
Calf/Shin Injury,3 Weeks,"Senderos, P"
Illness,2 Days,"Bentaleb, N"
Ankle/Foot Injury,2 Months,"Wilshere, J"
Calf/Shin Injury,2 Days,"Taylor, M"
Knee Injury,no date,"Allen, J"
Ankle/Foot Injury,2 Days,"Jagielka, P"
Illness,2 Days,"Oscar, E"
Ankle/Foot Injury,5 Days,"Clyne, N"
Knee Injury,no date,"Gnabry, S"
Calf/Shin Injury,6 Weeks,"Howard, T"
Knee Injury,no date,"Hesketh, J"
Hamstring Injury,5 Weeks,"Montero, J"
Concussion ,5 Days,"Bridcutt, L"
Calf/Shin Injury,2 Weeks,"Dzeko, E"
Knee Injury,5 Months,"Snodgrass, R"
MCL Knee Ligament Injury,2 Weeks,"Westwood, A"
Ankle/Foot Injury,2 Days,"Larsson, S"
Hamstring Injury,2 Days,"McCarthy, J"
Calf Muscle Strain,2 Days,"Kompany, V"
ACL Knee Injury,6 Months,"Odemwingie, P"
Illness,2 Days,"Pozo, J"
Thigh Muscle Strain,3 Weeks,"Moses, V"
Ankle/Foot Injury,2 Weeks,"Abeid, M"
Fractured Rib,2 Weeks,"Fellaini, M"
Knee Injury,no date,"Morrison, J"
Ankle/Foot Injury,no date,"Osman, L"
Groin/Pelvis Injury,no date,"Taarabt, A"
Calf/Shin Injury,2 Days,"Bardsley, P"
MCL Knee Ligament Injury,2 Weeks,"Blind, D"
Metatarsal Fracture,3 Weeks,"Schmeichel, K"
Hip/Thigh Injury,no date,"Obertan, G"
Hip/Thigh Injury,no date,"Jones, B"
Knock,no date,"Pocognoli, S"
Knock,no date,"Ulloa, L"
Knock,2 Days,"Ameobi, S"
Illness,2 Days,"Januzaj, A"
Thigh Muscle Strain,2 Weeks,"Rojo, M"
Calf/Shin Injury,2 Days,"Duff, M"
Hip/Thigh Injury,2 Days,"Welbeck, D"
Calf/Shin Injury,2 Days,"Sanogo, Y"
Hamstring Injury,2 Days,"Ramsey, A"
Knee Injury,2 Weeks,"Sidwell, S"
Knee Injury,no date,"Flanagan, J"
Knee Injury,2 Weeks,"Gibson, D"
MCL Knee Ligament Injury,3 Weeks,"Aguero, S"
Dislocated Shoulder,2 Weeks,"Van Aanholt, P"
Hamstring Injury,no date,"Krkic, B"
Ankle/Foot Injury,2 Days,"Cleverley, T"
Hamstring Injury,2 Weeks,"Aarons, R"
Groin/Pelvis Injury,no date,"Valencia, A"
Ankle/Foot Injury,2 Weeks,"Krul, T"
Ankle/Foot Injury,no date,"Ward, S"
Groin/Pelvis Injury,2 Days,"Ramirez, G"
Groin Strain,no date,"Lovren, D"
Groin Strain,3 Weeks,"Johnson, G"
Groin/Pelvis Injury,no date,"Good, C"
