name,position,team,vfm,value,pts,month_pts,week_pts,status,description,returns
"Pantilimon, Costel",GK,SUN,14.0,2.5,35,16.0,5.0,,,
"Sanchez, Carlos",MID,AVL,16.5,2.0,33,14.0,5.0,,,
"Arnautovic, Marko",MID,STO,2.8,2.5,7,4.0,2.0,,,
"Samaras, Georgios",STR,WBA,0.0,1.5,0,0.0,0.0,Doubtful,Ruled out of 20/12 game against QPR. Returned to training on 18/12 after being granted a week off for personal reasons.,01/01/2015
"Osman, Leon",MID,EVE,15.2,2.5,38,0.0,0.0,Injured,"Rated a doubt for 20/12 trip to Southampton. Ruled out ""for a while"" by Roberto Martinez on 30/12.",Unknown
"Cisse, Papiss",STR,NEW,22.0,3.0,66,36.0,8.0,Suspended,Set to serve a three-match ban for violent conduct. Will also depart for international duties with Senegal in January to participate in African Cup of Nations.,Unknown
"Huddlestone, Tom",MID,HUL,9.6,2.5,24,2.0,0.0,Suspended,Serving a four-match ban. Huddlestone earned a one-match ban after collecting his fifth yellow card of the season during the 13/12 game against Chelsea. He then received an additional three-match ban,04/01/2015
"Mangala, Eliaquim",DEF,MCY,7.33,4.5,33,24.0,-1.0,,,
"Coutinho, Philippe",MID,LIV,11.75,4.0,47,21.0,3.0,,,
"Toure, Yaya",MID,MCY,12.8,7.5,96,35.0,0.0,Doubtful,Missed 28/12 game against Burnley with problem.,01/01/2015
"Speroni, Julian",GK,CRY,12.67,1.5,19,9.0,5.0,,,
"Diouf, Mame Biram",STR,STO,34.67,1.5,52,18.0,18.0,,,
"Knockaert, Anthony",MID,LEI,1.33,1.5,2,0.0,0.0,,,
"de Jong, Siem",MID,NEW,2.8,2.5,7,0.0,0.0,Injured,Club confirmed on 5/9 he is expected to be out for a number of months.,Unknown
"di Maria, Angel",MID,MUN,8.17,6.0,49,0.0,0.0,Doubtful,Missed 26/12 game against Newcastle with problem.,01/01/2015
"Dier, Eric",DEF,TOT,23.0,2.0,46,5.0,0.0,,,
"Barkley, Ross",MID,EVE,8.5,4.0,34,12.0,0.0,,,
"Doyle, Kevin",STR,CRY,2.0,1.5,3,0.0,0.0,,,
"Lukaku, Romelu",STR,EVE,13.78,4.5,62,8.0,0.0,,,
"Odemwingie, Peter",STR,STO,1.2,2.5,3,0.0,0.0,Injured,"Forced off during 30/8 game against Man City. Ruled out for the ""foreseeable future"" on 1/9.",Unknown
"Bannan, Barry",MID,CRY,1.0,1.0,1,0.0,0.0,,,
"Mee, Ben",DEF,BUR,19.0,1.0,19,7.0,1.0,,,
"Schurrle, Andre",MID,CHE,13.11,4.5,59,23.0,0.0,,,
"Walters, Jon",STR,STO,20.4,2.5,51,6.0,0.0,,,
"Diame, Mohamed",MID,HUL,16.4,2.5,41,0.0,0.0,Injured,Forced off during 3/12 clash with Everton due to recurrence of previous injury. Confirmed on 13/12 that Diame had been put in a brace for at least a month.,31/01/2015
Rafael,DEF,MUN,2.25,4.0,9,4.0,4.0,,,
"Adebayor, Emmanuel",STR,TOT,8.75,4.0,35,0.0,0.0,,,
"Ward-Prowse, James",MID,SOT,22.0,1.5,33,16.0,0.0,,,
"Vargas, Eduardo",STR,QPR,0.0,2.0,0,0.0,0.0,,,
"Aguero, Sergio",STR,MCY,20.67,7.5,155,18.0,0.0,Injured,Sustained in the encounter with Everton on 6/12 which saw him forced off on 7 minutes. Ruled out for 4-6 weeks by Manuel Pellegrini on 9/12.,18/01/2015
"Salah, Mohamed",MID,CHE,2.67,3.0,8,3.0,0.0,,,
"Leiva, Lucas",MID,LIV,12.0,1.5,18,10.0,0.0,,,
"Weimann, Andreas",STR,AVL,10.0,2.5,25,-1.0,0.0,,,
"Chambers, Calum",DEF,ARS,19.2,2.5,48,2.0,0.0,,,
"Richardson, Kieran",DEF,AVL,11.33,1.5,17,5.0,0.0,,,
"Pienaar, Steven",MID,EVE,2.0,3.0,6,-1.0,0.0,Injured,"Still a couple of weeks away from match fitness, confirmed Roberto Martinez on 30/12.",17/01/2015
"Rodwell, Jack",MID,SUN,8.0,2.5,20,2.0,0.0,,,
"Gomez, Jordi",MID,SUN,27.33,1.5,41,13.0,2.0,,,
"Remy, Loic",STR,CHE,7.5,4.0,30,11.0,0.0,,,
Oscar,MID,CHE,15.82,5.5,87,12.0,0.0,,,
"Collins, James",DEF,WHM,6.0,2.5,15,3.0,0.0,,,
"Szczesny, Wojciech",GK,ARS,8.22,4.5,37,5.0,0.0,,,
"Alcaraz, Antolin",DEF,EVE,5.0,1.0,5,-3.0,-3.0,,,
"Onuoha, Nedum",DEF,QPR,-13.0,1.0,-13,-5.0,0.0,,,
"Noble, Mark",MID,WHM,10.0,2.0,20,0.0,0.0,,,
"Austin, Charlie",STR,QPR,45.2,2.5,113,41.0,0.0,,,
"Kebe, Jimmy",MID,CRY,0.0,1.5,0,0.0,0.0,,,
"Torres, Fernando",STR,CHE,0.0,4.0,0,0.0,0.0,,,
"Fabianski, Lukasz",GK,SWA,17.6,2.5,44,13.0,-3.0,,,
"Downing, Stewart",MID,WHM,34.4,2.5,86,36.0,3.0,,,
"Green, Robert",GK,QPR,22.67,1.5,34,14.0,5.0,,,
