name,position,team,vfm,value,points,status,description,returns,month_points,week_points
Paulinho,MID,TOT,5.75,4.0,23,,,,2.0,0.0
"Cresswell, Aaron",DEF,WHM,33.33,1.5,50,,,,9.0,3.0
"Baird, Chris",DEF,WBA,-1.0,1.0,-1,,,,-1.0,0.0
"Dyer, Nathan",MID,SWA,25.2,2.5,63,,,,2.0,0.0
"Sakho, Mamadou",DEF,LIV,0.89,4.5,4,,,,0.0,0.0
"Leiva, Lucas",MID,LIV,9.33,1.5,14,,,,6.0,3.0
"Sissoko, Moussa",MID,NEW,20.0,2.5,50,,,,5.0,3.0
"Kagawa, Shinji",MID,MUN,0.0,3.5,0,,,,0.0,0.0
"Snodgrass, Robert",MID,HUL,0.67,3.0,2,Injured,Withdrawn on 40 minutes in the clash with QPR on 16/8.  Steve Bruce revealed on 20/8 Snodgrass could be out for up to six months with a dislocated kneecap.,Unknown,0.0,0.0
"Cissokho, Aly",DEF,AVL,26.0,1.5,39,,,,11.0,3.0
"Clichy, Gael",DEF,MCY,11.11,4.5,50,,,,27.0,8.0
"Adam, Charlie",MID,STO,12.0,2.5,30,,,,-1.0,0.0
"Crouch, Peter",STR,STO,14.0,2.5,35,,,,12.0,5.0
Fernandinho,MID,MCY,6.0,4.5,27,,,,8.0,0.0
"Bony, Wilfried",STR,SWA,13.56,4.5,61,,,,16.0,8.0
"Sagbo, Yannick",STR,HUL,0.0,1.0,0,,,,0.0,0.0
"Ramsey, Aaron",MID,ARS,11.8,5.0,59,Injured,Withdrawn at half-time during 9/12 game against Galatasaray. Ramsey sat out of the Emirates meeting with Newcastle on 13/12 with Wenger also ruling him out of the trip to Liverpool on 21/12.,26/12/2014,25.0,0.0
"Dier, Eric",DEF,TOT,23.0,2.0,46,,,,5.0,0.0
"Sagna, Bacary",DEF,MCY,4.0,4.5,18,,,,8.0,8.0
"Taylor, Matty",MID,BUR,2.0,1.0,2,Injured,Missed 13/9 game against Crystal Palace with problem. Underwent surgery on 16/10 and will be out for foreseeable future.,Unknown,0.0,0.0
"Knockaert, Anthony",MID,LEI,1.33,1.5,2,,,,0.0,0.0
"Janmaat, Daryl",DEF,NEW,18.4,2.5,46,,,,-1.0,-4.0
"Jenas, Jermaine",MID,QPR,0.0,1.0,0,,,,0.0,0.0
"di Maria, Angel",MID,MUN,8.17,6.0,49,Doubtful,"Sustained in the 3-0 win over Hull on 29/11 which saw him forced off on 14 minutes. Louis van Gaal stated post match that he would miss the home clash with Stoke on 2/12 because it was ""too close"".",20/12/2014,0.0,0.0
"Kompany, Vincent",DEF,MCY,9.85,6.5,64,Injured,Sustained in the encounter with Leicester on 13/12 which saw him forced off on 75 minutes.,26/12/2014,5.0,5.0
"Altidore, Jozy",STR,SUN,2.67,1.5,4,,,,0.0,0.0
"Fonte, Jose",DEF,SOT,17.33,3.0,52,,,,-3.0,-1.0
"Fletcher, Darren",MID,MUN,2.5,2.0,5,,,,0.0,0.0
"Hazard, Eden",MID,CHE,19.86,7.0,139,,,,41.0,23.0
"Johnson, Andrew",STR,CRY,0.0,1.0,0,,,,0.0,0.0
"Lloris, Hugo",GK,TOT,18.44,4.5,83,,,,9.0,3.0
"Mee, Ben",DEF,BUR,16.0,1.0,16,,,,4.0,5.0
"Naismith, Steven",STR,EVE,24.0,2.5,60,,,,8.0,8.0
"Nolan, Kevin",MID,WHM,4.67,3.0,14,,,,8.0,0.0
Nani,MID,MUN,0.0,3.0,0,Unavailable,Joined Sporting Lisbon on season-long loan deal,25/05/2015,0.0,0.0
"Jedinak, Mile",MID,CRY,24.0,2.0,48,,,,5.0,0.0
"Szczesny, Wojciech",GK,ARS,7.78,4.5,35,,,,3.0,0.0
"Mirallas, Kevin",MID,EVE,14.25,4.0,57,Injured,"Sustained in the 3-1 win over QPR on 15/12 which saw him stretchered from the field on 75 minutes. Roberto Martinez described the injury as ""bad"" post-match and confirmed that the player would undergo",26/12/2014,11.0,8.0
"Stambouli, Benjamin",MID,TOT,11.2,2.5,28,,,,4.0,4.0
"Schlupp, Jeff",DEF,LEI,11.33,1.5,17,,,,-5.0,0.0
"Fabregas, Cesc",MID,CHE,13.27,5.5,73,,,,12.0,3.0
"Wisdom, Andre",DEF,WBA,21.33,1.5,32,,,,9.0,5.0
"Smalling, Chris",DEF,MUN,3.71,3.5,13,Injured,Forced off early during 8/12 game against Southampton.,26/12/2014,3.0,0.0
"Fellaini, Marouane",MID,MUN,7.14,3.5,25,Injured,Ruled out of 20/12 game against Aston Villa due to problem.,26/12/2014,9.0,1.0
"Yoshida, Maya",DEF,SOT,5.0,2.0,10,,,,-1.0,0.0
